,village,school,num_students
3421,Nové Mesto nad Váhom,"Stredná priemyselná ško - N.M.n.Váhom, Bzinská",352.0
3422,Nové Mesto nad Váhom,"ZŠ Spoj.šk.sv. Jozefa - N.M.n.Váhom, Klčové",359.0
3423,Nové Mesto nad Váhom,"Gym Spoj.šk.sv. Jozefa - N.M.n.Váhom, Klčové",71.0
3424,Nové Mesto nad Váhom,"ZŠ - N.M.n.Váhom, Kpt.Nálepku",566.0
3425,Nové Mesto nad Váhom,"ZŠ - N.M.n.Váhom, Odborárska",369.0
3426,Nové Mesto nad Váhom,"SOŠ OaSl - N.M.n.Váhom, Piešťanská",401.0
3427,Nové Mesto nad Váhom,"Materská škola - N.M.n.Váhom, Poľovnícka",596.0
3428,Nové Mesto nad Váhom,"Bilingv.slov.špan.gymn. - N.M.n.Váhom, Štúrova  2590/31A",137.0
3429,Nové Mesto nad Váhom,"Gym. M.R.Štefanika - N.M.n.Váhom, Športová",287.0
3430,Nové Mesto nad Váhom,"ZŠ - N.M.n.Váhom, Tematínska",565.0
3431,Nové Mesto nad Váhom,"EP ako súčasť MŠ - N.M.n.Váhom, J.Kollára",
3432,Nové Mesto nad Váhom,"EP ako súčasť MŠ - N.M.n.Váhom, Hollého ",
3433,Nové Mesto nad Váhom,"EP ako súčasť MŠ - N.M.n.Váhom, Dibrovova ",
