,village,school,num_students
3402,Nová Kelča,Materská škola - Nová Kelča,9.0
3403,Nová Kelča,ZŠ - Nová Kelča,10.0
3404,Nová Lesná,"Materská škola - Nová Lesná, Školská",28.0
3405,Nová Ľubovňa,ZŠ s MŠ - Nová Ľubovňa,310.0
3406,Nová Ľubovňa,EP - ZŠ s MŠ (MŠ) - Nová Ľubovňa,47.0
3407,Nová Ľubovňa,EP - ZŠ s MŠ (MŠ) - Nová Ľubovňa,60.0
3408,Nová Ľubovňa,EP - ZŠ s MŠ - Nová Ľubovňa,
3409,Nová Polhora,Materská škola - Nová Polhora,19.0
3410,Nová Ves nad Žitavou,Materská škola - N.V. n.Ž.,37.0
3411,Nová Ves nad Žitavou,OU int. - N.V. n.Ž.,161.0
3412,Nová Ves nad Žitavou,"ZŠ - N.V. n.Ž., Partizánska",87.0
3413,Nová Vieska,MŠ s VJM - Óvoda - Nová Vieska,16.0
3414,Nová Vieska,ZŠ s VJM - Nová Vieska,10.0
3415,Nováčany,Materská škola - Nováčany,20.0
3416,Nováčany,Materská škola - Nováčany,20.0
3417,Nováky,"ZŠ - Nováky, Pribinova",402.0
3418,Nováky,"Materská škola - Nováky, Svätoplukova",101.0
3419,Nováky,"EP ako súčasť ZŠ - Nováky, J.C.Hronského",
3420,Nováky,"SOŠ - Nováky, Rastislavova",277.0
